model,manuscript,seed,decode_tok_s,detected,error,findings_matched,flagged_distractors,fp_on_clean,known_artifact_findings,missed_ids,n_findings,n_seeded,num_ctx,num_predict,numeric_correct,numeric_detected,numeric_total,output_tokens,peak_vram_mib,precision_prefilter,prefill_tok_s,prompt_tokens,recall,think,thinking_chars,ttft_s,unexplained_findings,variant,wall_s
qwen3.5:122b-a10b-q4_K_M,MS-B,42,21.1,,empty response,,0,0,0,,0,,65536,24576,,,,24576,84281,,1017.2,12413,,,66395,12.35,,b,1207.87
qwen3.5:35b-a3b-bf16,MS-A,42,27.8,26,,20,0,,1,"V09,V15,V16,V17,V18,V19,V20,V21,V27,V31,V32,V36,V37,V39",20,40,32768,16384,3,7,7,11066,71619,1.0,728.6,12104,0.65,,34866,36.59,0,a,450.5
qwen3.6:27b,MS-A,42,10.4,19,,17,0,,0,"V04,V08,V09,V10,V12,V13,V14,V15,V16,V17,V20,V21,V25,V26,V27,V31,V32,V37,V38,V39,V40",17,40,65536,24576,6,6,7,9593,25992,1.0,585.2,12104,0.475,,26957,28.96,0,a,960.22
qwen3.6:27b,MS-A,42,10.4,29,,28,0,,2,"V10,V14,V16,V20,V21,V24,V25,V26,V32,V39,V40",29,40,65536,24576,4,6,7,11446,25992,0.966,520.2,12304,0.725,,30281,30.99,1,b,1150.59
qwen3.6:27b,MS-B,42,10.4,,,,0,0,1,,1,,65536,24576,,,,15633,25992,,578.9,12213,,,55049,27.61,,a,1554.2
qwen3.6:27b,MS-B,42,10.3,,,,1,0,1,,1,,65536,24576,,,,13348,25992,,1190.8,12413,,,50009,10.53,,b,1318.52
qwen3.6:35b-a3b-bf16,MS-A,42,29.9,24,,17,0,,1,"V06,V14,V15,V16,V18,V20,V21,V24,V25,V26,V30,V31,V32,V36,V38,V39",17,40,32768,16384,4,4,7,11084,71046,1.0,729.9,12104,0.6,,35777,39.22,0,a,424.58
qwen3.6:35b-a3b-bf16,MS-A,42,29.8,28,,24,0,,2,"V02,V06,V09,V13,V14,V16,V18,V25,V26,V27,V32,V33",25,40,65536,24576,3,4,7,13851,72066,0.96,714.2,12304,0.7,,47867,38.97,1,b,522.2
qwen3.6:35b-a3b-bf16,MS-B,42,29.4,,,,2,1,1,,2,,32768,16384,,,,15442,71046,,1574.0,12213,,,54821,7.92,,a,554.27
qwen3.6:35b-a3b-bf16,MS-B,42,30.0,,,,0,0,0,,0,,65536,24576,,,,11048,72066,,1512.6,12413,,,40971,8.34,,b,390.28
qwen3.6:35b-a3b-q4_K_M,MS-A,42,50.2,23,,19,0,,1,"V04,V09,V10,V13,V15,V16,V18,V20,V21,V24,V27,V31,V32,V36,V37,V39,V40",19,40,32768,,5,7,7,9599,25820,1.0,1325.2,12104,0.575,,26770,17.99,0,a,223.69
